iter	Passed	Remaining
855	4568	768
856	4572	763
857	4577	757
858	4582	752
859	4587	746
860	4591	741
861	4596	735
862	4602	730
863	4606	725
864	4611	719
865	4616	714
866	4621	708
867	4627	703
868	4632	698
869	4637	692
870	4643	687
871	4649	682
872	4654	677
873	4658	671
874	4664	666
875	4670	661
876	4675	655
877	4680	650
878	4685	645
879	4690	639
880	4695	634
881	4701	629
882	4706	623
883	4711	618
884	4717	613
885	4723	607
886	4729	602
887	4734	597
888	4739	591
889	4745	586
890	4751	581
891	4756	575
892	4762	570
893	4767	565
894	4772	559
895	4779	554
896	4783	549
897	4789	543
898	4794	538
899	4799	533
900	4805	527
901	4811	522
902	4816	517
903	4821	511
904	4826	506
905	4830	501
906	4836	495
907	4841	490
908	4847	485
909	4855	480
910	4861	474
911	4866	469
912	4870	464
913	4876	458
914	4881	453
915	4887	448
916	4896	443
917	4904	438
918	4912	433
919	4919	427
920	4927	422
921	4933	417
922	4942	412
923	4949	407
924	4954	401
925	4959	396
926	4964	390
927	4968	385
928	4973	380
929	4977	374
930	4982	369
931	4986	363
932	4991	358
933	4996	353
934	5001	347
935	5006	342
936	5010	336
937	5015	331
938	5019	326
939	5025	320
940	5029	315
941	5035	310
942	5041	304
943	5046	299
944	5050	293
945	5056	288
946	5060	283
947	5065	277
948	5071	272
949	5075	267
950	5080	261
951	5084	256
952	5090	251
953	5094	245
954	5098	240
955	5104	234
956	5108	229
957	5113	224
958	5118	218
959	5122	213
960	5127	208
961	5131	202
962	5137	197
963	5141	192
964	5146	186
965	5151	181
966	5156	175
967	5160	170
968	5165	165
969	5170	159
970	5175	154
971	5179	149
972	5185	143
973	5189	138
974	5194	133
975	5199	127
976	5205	122
977	5209	117
978	5215	111
979	5220	106
980	5225	101
981	5230	95
982	5236	90
983	5241	85
984	5245	79
985	5251	74
986	5256	69
987	5261	63
988	5266	58
989	5271	53
990	5276	47
991	5281	42
992	5286	37
993	5290	31
994	5295	26
995	5300	21
996	5305	15
997	5309	10
998	5315	5
999	5320	0
